Time/s,ABS III_Q_flow_sph/kW,ABS III_Q_flow_dhw/kW,ABS III_Q_flow_tot/kW,ABS II_Q_flow_sph/kW,ABS II_Q_flow_dhw/kW,ABS II_Q_flow_tot/kW,ABS I_Q_flow_sph/kW,ABS I_Q_flow_dhw/kW,ABS I_Q_flow_tot/kW
417600,2809.384634667,371.380234876726,3180.76486954373,1131.04531106038,58.8454389396172,1189.89075,866.658782588841,36.225473615961,902.884256204802
421200,2998.8699513147,364.247451889442,3363.11740320414,1141.58884930349,61.1524006965115,1202.74125,955.916851398918,36.79733102666,992.714182425578
424800,3153.68444330837,49.7222678934299,3203.4067112018,1186.15555788876,13.3701921112355,1199.52575,1024.37557159267,11.024971158875,1035.40054275155
428400,3252.9676397483,24.97979101053,3277.94743075883,1240.39173647587,8.10126352413361,1248.493,1079.0253109416,6.744996863765,1085.77030780537
432000,3356.8077175809,12.9336537329999,3369.7413713139,1294.45553606925,4.33158893074795,1298.787125,1125.05956980824,3.4999965,1128.55956630824
435600,3432.76895753318,6.262863867,3439.03182140018,1339.0394761492,2.00939885080186,1341.048875,1165.01227616188,1.6948035,1166.70707966188
439200,3481.98119194709,0.0479912939999999,3482.02918324109,1371.82931302458,0.0156869754245064,1371.845,1197.4064766426,0.012987,1197.4194636426
442800,3537.1837122322,2.471551641,3539.6552638732,1401.06589864762,0.830226352384554,1401.896125,1225.28830060489,0.6688305,1225.95713110489
446400,3603.31235191934,4.943103282,3608.25545520134,1429.65049281978,1.56113218022477,1431.211625,1250.66396310568,1.337661,1252.00162410568
450000,3694.46040171198,39.3205500242393,3733.78095173622,1639.27884221605,3.26240778394657,1642.54125,1276.88085528256,1.04838123084594,1277.92923651341
453600,3773.98468890372,55.9882645675763,3829.97295347129,1744.25925611924,4.67511888076082,1748.934375,1301.59319507943,0.879889107713474,1302.47308418714
457200,3139.99532493127,803.583253783287,3943.57857871456,1548.52770779546,101.948167204544,1650.475875,1201.57777504393,47.8178177083673,1249.3955927523
460800,2686.89762764503,300.506768362684,2987.40439600771,1401.51292424538,34.0827007546248,1435.595625,1061.17985941614,14.3774080833495,1075.55726749949
464400,2568.29807034685,148.452964270509,2716.75103461736,1281.52677365818,22.8162263418237,1304.343,971.298300429397,10.4620339404381,981.760334369835
468000,2431.40562268621,244.680806721546,2676.08642940776,1200.89737191084,31.9861280891609,1232.8835,889.185311752635,13.5192230458009,902.704534798436
471600,2203.79550720592,398.677843654955,2602.47335086087,1084.46348669953,57.9358883004738,1142.399375,788.419894576208,31.1026874499325,819.522582026141
475200,1913.64208243776,323.759080375323,2237.40116281308,931.88549304786,40.2641944521404,972.1496875,678.437698640577,22.8571633045184,701.294861945095
478800,1805.15752215654,447.607460108132,2252.76498226467,846.270696263659,57.8389287363411,904.109625,586.272256858314,22.7257851686763,608.99804202699
